,name,year,sellingprice,kmdriven,fuel,sellertype,transmission,owner,kmdriven_sc,year_sc,sellingprice_sc
23,Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,-0.6693102205951177,0.4529729035190014,-0.4220136120393519
24,Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,0.7243813012988068,0.2157170018447861,-0.4393002322463333
25,Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,-0.8837243008864907,1.1647406085416476,1.9808265967310652
26,Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,-0.905165708915628,0.4529729035190014,0.1398015446875443
27,Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,-1.3125524614692368,1.401996510215863,1.1942853773134108
28,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner,-0.7121930366533923,-0.0215388998294292,-0.1972875493485934
29,Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,-0.8194000767990788,0.2157170018447861,2.52535340458896
30,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,-0.1547164278958225,-0.0215388998294292,1.5918776420739835
31,Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,-1.3232731654838057,1.1647406085416476,0.8139797327598197
32,Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner,2.351784170710328,-0.49605070317786,1.1856420672099202
33,Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner,-1.1088590851924325,1.1647406085416476,0.7361899418284034
34,Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner,-1.0981383811778638,1.1647406085416476,0.0360818234456557
35,Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,-0.3476891001580582,-0.0215388998294292,2.127762868490408
36,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,-0.6950399102300825,-0.2587948015036446,1.5054445410390764
37,Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,1.3762001053845807,-0.49605070317786,-0.0935678281067048
38,Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner,-0.3476891001580582,0.6902288051932168,0.6843300812074591
39,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner,0.2955531407160608,0.4529729035190014,1.3757948894867158
40,Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner,-1.2053454213235502,1.401996510215863,1.54866109155653
41,Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,1.1317680538524155,-0.7333066048520753,0.597896980172552
42,Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,-0.1332750198666852,0.2157170018447861,-0.4738752013223168
43,BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,0.2054992269936841,-0.0215388998294292,1.8079603946612512
44,Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,0.2526703246577862,-0.9705625065262908,1.2893617884518087
45,Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner,-0.5621031804494312,-0.2587948015036446,0.2089480255154699
46,Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner,-0.3476891001580582,0.2157170018447861,0.9436293843121802
47,Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner,0.166904692541237,0.2157170018447861,0.0965849941700907
48,Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner,-0.0475093877501359,0.2157170018447861,-0.3701537514184076
49,Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner,-0.1332750198666852,-0.2587948015036446,-0.3960836817288797
50,Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner,1.153209461881553,-0.9705625065262908,-0.1609856469139324
51,Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner,0.2741117326869235,-0.9705625065262908,-0.6121664343161475
52,Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner,-1.0981383811778638,1.401996510215863,-0.0071347270717977
53,Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner,0.2955531407160608,-1.682330211548937,-0.6985995353510546
54,Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner,-1.0230934530758833,0.927484706867432,0.3818142275852842
55,Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner,-1.2010571397177228,1.1647406085416476,-0.1782722671209138
56,Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner,-0.7979586687699415,1.1647406085416476,0.4250307781027377
57,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner,-0.8194000767990788,1.1647406085416476,-0.3355805110044447
58,Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner,-0.4334547322746074,0.6902288051932168,0.2780945063433956
59,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner,0.0811390604246878,0.2157170018447861,-0.0676378977962327
60,Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner,-0.1332750198666852,-0.2587948015036446,-0.594879814109166
61,Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner,-0.6693102205951177,-4.05488922829109,-0.4393002322463333
62,Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner,0.5099672210074339,0.2157170018447861,0.295381126550377
63,Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner,0.2955531407160608,-0.0215388998294292,-0.3528671312114262
64,Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner,0.2955531407160608,-1.919586113223152,-0.7504593959719988
65,Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,0.1518957069208409,0.2157170018447861,-0.4565868524533147
66,Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner,0.5528500370657085,0.2157170018447861,0.0360818234456557
67,Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,0.0117546640423995,-0.9705625065262908,-0.6104377722954494
68,Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner,0.7243813012988068,-0.9705625065262908,-0.6294530545231289
69,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner,6.084733308583132,-0.7333066048520753,-0.387440371625389
70,Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner,3.5117643450866565,-0.49605070317786,-0.266434030176519
71,Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner,-0.1332750198666852,0.927484706867432,0.1138716143770721
72,Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner,-0.7550758527116669,1.1647406085416476,-0.3528671312114262
73,Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner,-0.5835445884785685,-1.4450743098747214,-0.6985995353510546
74,Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner,1.153209461881553,-0.9705625065262908,-0.0071347270717977
75,Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,2.139514231221869,0.2157170018447861,-0.655382984833601
76,Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner,0.9387953815901798,-1.682330211548937,-0.6467396747301103
77,Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner,-0.6693102205951177,0.927484706867432,0.7275466317249126
78,Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner,-0.1332750198666852,1.1647406085416476,0.4250307781027377
79,Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,-0.261923468041509,-1.4450743098747214,-0.5257333332812404
80,Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner,-0.0689507957792732,-0.7333066048520753,-0.4427575562877295
81,Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner,1.153209461881553,0.2157170018447861,-0.0935678281067048
82,Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner,1.153209461881553,-1.919586113223152,-0.7331727757650174
83,Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner,0.2097875085995116,0.2157170018447861,0.2521645760329235
84,Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner,0.2955531407160608,0.4529729035190014,-0.0935678281067048
85,Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner,-0.8837243008864907,1.401996510215863,0.2521645760329235
86,Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,-1.1633631444024994,0.6902288051932168,-0.0157780371752884
87,Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner,-0.9909313410321772,0.4529729035190014,-0.2301321277418581
88,Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,-1.2267868293526876,0.927484706867432,0.9004128337947268
89,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,-1.2803903494255309,0.927484706867432,13.217129731268988
90,Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,0.0811390604246878,0.4529729035190014,0.4250307781027377
91,Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner,1.153209461881553,-0.0215388998294292,0.1657314749980164
92,Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,-0.1761578359249598,-1.4450743098747214,-0.7331727757650174
93,Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner,-0.0861039222025831,-0.0215388998294292,-0.3096505806939726
94,Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,-0.690751628624255,0.2157170018447861,1.6696674330054
95,Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner,-0.2833648760706463,0.4529729035190014,-0.266434030176519
96,Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,-0.3691305081871955,-0.0215388998294292,3.96878792053393
97,Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,-1.0981383811778638,0.927484706867432,-0.5084467130742589
98,Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,-0.3476891001580582,-0.0215388998294292,-0.0935678281067048
99,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,-0.2833648760706463,-0.0215388998294292,1.1164955863819943
100,Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,-0.0582300917647046,-0.9705625065262908,-0.5084467130742589
101,Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,-1.2096337029293778,1.1647406085416476,6.907513355720771
102,BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,-1.1410211972361384,0.927484706867432,3.8823548194990223
103,Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,-0.96948993300304,1.1647406085416476,2.542641753457961
104,Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner,-0.7942493051809008,-1.207818408200506,-0.5689498837986939
105,BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,-0.3905719162163328,-0.2587948015036446,3.4501893143244864
106,Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner,1.153209461881553,0.927484706867432,0.2141340115775644
107,Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner,0.7243813012988068,-0.7333066048520753,0.1657314749980164
108,Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner,-0.7765172607408042,0.927484706867432,-0.1817295911623101
109,Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner,0.4456429969200219,1.1647406085416476,0.4250307781027377
110,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner,-1.0981383811778638,1.401996510215863,0.4250307781027377
111,Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner,-1.0766969731487264,0.927484706867432,-0.3269372009009541
112,Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner,-0.1332750198666852,-0.2587948015036446,0.1657314749980164
113,Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,-0.1332750198666852,-0.7333066048520753,-0.6985995353510546
114,Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner,0.9387953815901798,-0.49605070317786,-0.4393002322463333
115,Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner,-0.8837243008864907,0.927484706867432,-0.266434030176519
116,Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner,-0.1332750198666852,0.6902288051932168,0.476890638723682
117,Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner,0.2816162254971215,0.2157170018447861,-0.1212264204378751
118,Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner,0.2955531407160608,0.6902288051932168,0.3213110568608492
119,Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner,0.5099672210074339,0.2157170018447861,0.0879416840666
120,Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner,0.5099672210074339,-1.4450743098747214,-0.6640262949370918
121,Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,1.153209461881553,0.2157170018447861,-0.0071347270717977
122,Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner,-0.1332750198666852,-0.0215388998294292,-0.5862365040056754
123,Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner,-0.3476891001580582,-2.1568420148973675,-0.7072428454545453
124,Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner,-0.9909313410321772,1.1647406085416476,0.0792983739631093
125,Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,0.9387953815901798,-1.4450743098747214,-0.6985995353510546
126,Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner,-0.3476891001580582,-0.2587948015036446,-0.6985995353510546
127,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner,0.7243813012988068,-0.2587948015036446,-0.0071347270717977
128,Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,Second Owner,0.0811390604246878,0.6902288051932168,0.5114638791376448
129,Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,Second Owner,0.0811390604246878,0.6902288051932168,0.5806103599655705
130,Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner,-0.3476891001580582,0.6902288051932168,-0.0244213472787791
131,Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner,0.3169945487451981,-0.7333066048520753,-0.655382984833601
132,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,Third Owner,1.153209461881553,-0.2587948015036446,-0.1800009291416119
133,Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,-1.342570432710029,0.4529729035190014,0.8571962832772733
134,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner,-1.1137477262230755,0.4529729035190014,0.0447251335491464
135,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner,-0.3645634882769892,0.927484706867432,0.5806103599655705
136,Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,-0.5621031804494312,0.4529729035190014,-0.4738752013223168
137,Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,-0.5621031804494312,-3.58037742494266,-0.8023192565929431
138,Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner,0.2955531407160608,-0.2587948015036446,-0.6467396747301103
139,Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner,0.0811390604246878,0.4529729035190014,-0.5257333332812404
140,Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner,0.0811390604246878,-0.49605070317786,-0.6640262949370918
141,Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner,-0.1975992439540971,-2.394097916571583,-0.7418160858685081
142,Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner,1.153209461881553,0.6902288051932168,-0.4393002322463333
143,Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,-0.7765172607408042,-1.919586113223152,-0.6985995353510546
144,Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner,-1.3502893396005184,-0.0215388998294292,-0.387440371625389
145,Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner,-1.3125524614692368,0.4529729035190014,0.0620117537561279
146,Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner,-1.2053454213235502,1.1647406085416476,0.3385976770678306
147,Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner,0.7243813012988068,0.4529729035190014,0.0360818234456557
148,Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner,0.2955531407160608,0.6902288051932168,-0.1281410685206677
149,Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner,0.0811390604246878,-2.631353818245798,-0.7591027060754896
150,Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,First Owner,-0.6693102205951177,1.1647406085416476,0.5114638791376448
151,Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner,1.0245610137067291,-1.4450743098747214,-0.7418160858685081
152,Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner,-0.2668121090721523,-1.207818408200506,-0.5084467130742589
153,Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner,1.582037622464299,-0.2587948015036446,-0.5343766433847311
154,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner,1.153209461881553,0.4529729035190014,-0.1800009291416119
155,Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner,-0.1332750198666852,-0.2587948015036446,-0.5775931939021847
156,Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner,-0.8837243008864907,0.6902288051932168,-0.4825167827637868
157,Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner,0.5099672210074339,0.2157170018447861,-0.5084467130742589
158,Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner,1.153209461881553,1.6392524118900782,-0.4565868524533147
159,Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Individual,Manual,First Owner,2.3324869034841043,0.4529729035190014,-0.3528671312114262
160,Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner,0.7243813012988068,-0.49605070317786,-0.7003281973717528
161,Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner,-0.6478688125659804,0.2157170018447861,0.2003047154119792
162,Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner,-0.7765172607408042,-0.0215388998294292,-0.0071347270717977
163,Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,-0.5621031804494312,-0.7333066048520753,3.536622415359393
164,Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner,0.0811390604246878,-0.0215388998294292,-0.4220136120393519
165,Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner,-0.1332750198666852,0.927484706867432,0.0792983739631093
166,Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner,1.914379446915927,-0.49605070317786,-0.6121664343161475
167,Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,-0.3476891001580582,-0.49605070317786,-0.266434030176519
168,Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner,-0.5621031804494312,0.6902288051932168,-0.3182938907974633
169,Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,Third Owner,0.7243813012988068,0.4529729035190014,-0.1800009291416119
170,Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner,0.2955531407160608,-0.2587948015036446,-0.5689498837986939
171,Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner,0.5099672210074339,-0.49605070317786,-0.6640262949370918
172,Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner,0.5099672210074339,-0.0215388998294292,-0.3182938907974633
173,Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,Third Owner,0.9387953815901798,-1.682330211548937,-0.7504593959719988
174,Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Individual,Manual,First Owner,-1.0981383811778638,1.401996510215863,0.5287504993446263
175,Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner,0.7243813012988068,-1.4450743098747214,-0.7072428454545453
176,Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Individual,Manual,First Owner,-0.5621031804494312,1.6392524118900782,-0.3839830475839927
177,Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,Second Owner,-0.1332750198666852,-2.1568420148973675,-0.7331727757650174
178,Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,First Owner,-0.8837243008864907,-0.0215388998294292,-0.7470020719306025
179,Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,First Owner,-0.8837243008864907,0.6902288051932168,0.1657314749980164
180,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner,-0.9266071169447652,0.4529729035190014,0.2348779558259421
181,Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner,-0.9447251067293864,1.1647406085416476,-0.2145741695555748
182,Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,First Owner,0.0811390604246878,1.1647406085416476,0.2521645760329235
183,Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner,-0.1332750198666852,-0.9705625065262908,-0.6121664343161475
